age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
40,blue-collar,married,basic.9y,no,no,yes,telephone,May,Mon,178,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
35,admin.,married,university.degree,no,yes,no,telephone,May,Mon,355,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
45,blue-collar,married,basic.9y,no,yes,no,telephone,May,Mon,225,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
54,admin.,married,high.school,no,no,no,telephone,May,Mon,160,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
39,housemaid,married,basic.4y,no,no,yes,telephone,May,Mon,266,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
60,admin.,married,high.school,no,no,no,telephone,May,Mon,253,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
53,admin.,single,professional.course,no,no,no,telephone,May,Mon,179,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
55,blue-collar,married,basic.4y,unknown,no,no,telephone,May,Mon,269,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
55,technician,married,professional.course,unknown,yes,no,telephone,May,Mon,135,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
50,management,married,university.degree,unknown,no,yes,telephone,May,Mon,161,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
45,services,married,high.school,unknown,yes,no,telephone,May,Mon,787,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
55,unemployed,married,professional.course,unknown,yes,yes,telephone,May,Mon,145,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
25,technician,single,university.degree,no,yes,no,telephone,May,Mon,174,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
47,entrepreneur,married,university.degree,unknown,no,no,telephone,May,Mon,449,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
51,blue-collar,married,basic.9y,no,yes,no,telephone,May,Mon,812,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
42,blue-collar,married,basic.6y,unknown,yes,no,telephone,May,Mon,164,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
42,blue-collar,married,basic.6y,unknown,no,no,telephone,May,Mon,366,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
48,admin.,married,high.school,no,no,no,telephone,May,Mon,357,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
37,admin.,married,university.degree,no,no,no,telephone,May,Mon,232,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
44,blue-collar,single,basic.9y,no,yes,no,telephone,May,Mon,91,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
33,admin.,married,unknown,no,yes,no,telephone,May,Mon,273,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
56,admin.,married,basic.9y,no,yes,no,telephone,May,Mon,158,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
44,blue-collar,single,basic.4y,unknown,yes,yes,telephone,May,Mon,177,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
41,management,married,basic.6y,no,no,no,telephone,May,Mon,200,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
44,management,divorced,university.degree,no,yes,no,telephone,May,Mon,172,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
47,admin.,married,university.degree,unknown,yes,no,telephone,May,Mon,176,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
57,unknown,married,unknown,unknown,no,no,telephone,May,Mon,211,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
37,admin.,married,university.degree,unknown,yes,no,telephone,May,Mon,214,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
41,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,May,Mon,1575,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,True
55,technician,married,university.degree,no,no,no,telephone,May,Mon,349,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
33,services,married,high.school,unknown,yes,no,telephone,May,Mon,337,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
55,management,married,unknown,unknown,yes,no,telephone,May,Mon,272,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
42,blue-collar,married,basic.9y,unknown,no,no,telephone,May,Mon,208,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
50,blue-collar,married,basic.4y,unknown,yes,no,telephone,May,Mon,193,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
51,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,May,Mon,212,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
38,admin.,married,high.school,unknown,no,no,telephone,May,Mon,165,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
49,entrepreneur,married,university.degree,unknown,yes,no,telephone,May,Mon,1042,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,True
38,technician,single,university.degree,no,no,yes,telephone,May,Mon,20,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
31,admin.,divorced,high.school,no,no,no,telephone,May,Mon,246,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
41,management,married,basic.6y,no,no,no,telephone,May,Mon,529,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
39,admin.,married,university.degree,no,yes,yes,telephone,May,Mon,192,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
49,technician,married,basic.9y,no,no,no,telephone,May,Mon,1467,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,True
34,admin.,married,high.school,no,yes,no,telephone,May,Mon,188,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
35,admin.,married,university.degree,no,yes,no,telephone,May,Mon,180,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
57,unknown,married,unknown,unknown,yes,no,telephone,May,Mon,48,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
60,admin.,married,unknown,unknown,no,yes,telephone,May,Mon,213,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
33,unemployed,married,basic.9y,no,no,no,telephone,May,Mon,545,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
42,blue-collar,married,basic.6y,no,no,yes,telephone,May,Mon,583,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
45,services,married,professional.course,no,yes,no,telephone,May,Mon,221,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
42,management,married,university.degree,no,no,no,telephone,May,Mon,426,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
53,admin.,divorced,university.degree,unknown,no,no,telephone,May,Mon,287,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
37,technician,single,professional.course,no,no,no,telephone,May,Mon,197,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
44,blue-collar,married,basic.6y,no,no,no,telephone,May,Mon,257,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
54,services,married,unknown,no,yes,no,telephone,May,Mon,229,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
49,blue-collar,married,basic.4y,no,no,no,telephone,May,Mon,55,3,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
54,services,married,unknown,no,no,no,telephone,May,Mon,400,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
52,admin.,divorced,university.degree,no,no,no,telephone,May,Mon,197,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
52,admin.,divorced,university.degree,no,no,no,telephone,May,Mon,190,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
43,services,single,high.school,unknown,no,no,telephone,May,Mon,21,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
34,housemaid,married,basic.6y,no,yes,no,telephone,May,Mon,300,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
35,admin.,married,high.school,no,yes,no,telephone,May,Mon,123,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
42,entrepreneur,married,unknown,unknown,yes,no,telephone,May,Mon,293,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
43,technician,married,unknown,unknown,yes,yes,telephone,May,Mon,325,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
60,retired,divorced,university.degree,unknown,no,no,telephone,May,Mon,514,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
58,unemployed,married,basic.4y,unknown,no,no,telephone,May,Mon,849,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
35,services,divorced,high.school,no,yes,no,telephone,May,Mon,194,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
55,blue-collar,married,basic.9y,unknown,yes,no,telephone,May,Mon,212,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
37,management,married,university.degree,no,no,no,telephone,May,Mon,337,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
36,blue-collar,married,high.school,no,no,no,telephone,May,Mon,286,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
52,admin.,divorced,university.degree,no,no,no,telephone,May,Mon,247,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
57,blue-collar,divorced,unknown,unknown,yes,no,telephone,May,Mon,518,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
56,admin.,married,unknown,no,yes,no,telephone,May,Mon,364,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
48,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,May,Mon,178,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
40,blue-collar,married,high.school,unknown,yes,no,telephone,May,Mon,98,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
49,blue-collar,divorced,high.school,no,no,no,telephone,May,Mon,439,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
41,services,married,high.school,no,no,no,telephone,May,Mon,139,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
45,technician,married,high.school,no,yes,no,telephone,May,Mon,79,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
32,admin.,married,university.degree,no,yes,yes,telephone,May,Mon,175,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
42,admin.,married,university.degree,no,no,yes,telephone,May,Mon,262,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
50,admin.,married,basic.6y,no,no,no,telephone,May,Mon,61,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
31,technician,divorced,professional.course,no,yes,yes,telephone,May,Mon,78,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
56,retired,married,basic.4y,no,yes,no,telephone,May,Mon,102,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
41,technician,married,professional.course,unknown,yes,no,telephone,May,Mon,579,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,True
37,blue-collar,married,basic.6y,no,yes,yes,telephone,May,Mon,143,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
41,technician,married,professional.course,unknown,no,no,telephone,May,Mon,677,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
35,blue-collar,married,unknown,no,yes,no,telephone,May,Mon,267,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
37,blue-collar,married,basic.6y,no,yes,no,telephone,May,Mon,345,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
52,management,married,university.degree,no,no,no,telephone,May,Mon,185,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
39,management,divorced,university.degree,no,no,no,telephone,May,Mon,207,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
39,housemaid,married,basic.4y,unknown,no,no,telephone,May,Mon,69,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
56,blue-collar,married,basic.4y,unknown,no,no,telephone,May,Mon,100,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
34,services,married,high.school,no,yes,no,telephone,May,Mon,125,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
45,blue-collar,married,basic.9y,unknown,yes,no,telephone,May,Mon,461,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,True
43,unemployed,single,university.degree,no,yes,no,telephone,May,Mon,240,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
56,management,married,unknown,no,yes,no,telephone,May,Mon,70,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
39,management,married,university.degree,no,yes,no,telephone,May,Mon,193,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
53,blue-collar,married,basic.4y,no,yes,no,telephone,May,Mon,136,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
38,unknown,divorced,high.school,unknown,yes,no,telephone,May,Mon,73,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
42,blue-collar,married,basic.4y,unknown,yes,no,telephone,May,Mon,528,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
42,blue-collar,married,basic.4y,unknown,no,no,telephone,May,Mon,541,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
35,admin.,single,high.school,no,yes,no,telephone,May,Mon,338,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
40,admin.,married,university.degree,unknown,yes,no,telephone,May,Mon,163,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
51,blue-collar,married,basic.4y,no,yes,no,telephone,May,Mon,87,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
60,blue-collar,married,basic.9y,unknown,no,no,telephone,May,Mon,301,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
56,entrepreneur,married,unknown,unknown,yes,no,telephone,May,Mon,46,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
39,services,divorced,high.school,unknown,yes,no,telephone,May,Mon,52,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
56,entrepreneur,married,unknown,unknown,no,no,telephone,May,Mon,204,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
40,blue-collar,married,unknown,no,yes,yes,telephone,May,Mon,155,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
36,blue-collar,married,basic.9y,no,yes,yes,telephone,May,Mon,98,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
51,blue-collar,married,unknown,unknown,yes,no,telephone,May,Mon,71,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
51,blue-collar,married,unknown,unknown,no,no,telephone,May,Mon,243,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
43,technician,single,professional.course,no,yes,no,telephone,May,Mon,186,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
59,services,married,high.school,no,no,no,telephone,May,Mon,579,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
24,management,single,university.degree,no,yes,no,telephone,May,Mon,165,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
37,blue-collar,single,basic.9y,unknown,yes,yes,telephone,May,Mon,163,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
40,blue-collar,married,basic.9y,unknown,no,no,telephone,May,Mon,46,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
42,blue-collar,married,basic.9y,unknown,no,no,telephone,May,Mon,559,3,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
39,services,divorced,high.school,unknown,no,no,telephone,May,Mon,2033,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
37,entrepreneur,married,basic.6y,no,no,no,telephone,May,Mon,85,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
38,services,married,high.school,no,yes,yes,telephone,May,Mon,506,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
56,admin.,divorced,unknown,unknown,no,no,telephone,May,Mon,114,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
40,blue-collar,married,unknown,no,no,no,telephone,May,Mon,114,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
54,management,divorced,university.degree,no,yes,no,telephone,May,Mon,843,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
43,blue-collar,married,high.school,unknown,no,yes,telephone,May,Mon,181,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
36,services,married,high.school,unknown,no,no,telephone,May,Mon,427,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
45,technician,married,university.degree,no,yes,yes,telephone,May,Mon,292,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
42,admin.,single,university.degree,unknown,no,no,telephone,May,Mon,192,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
43,services,married,high.school,no,no,no,telephone,May,Mon,93,3,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
46,management,married,basic.9y,no,no,no,telephone,May,Mon,128,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
44,services,married,high.school,no,yes,yes,telephone,May,Mon,107,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
51,admin.,single,basic.6y,no,no,no,telephone,May,Mon,303,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
28,services,married,high.school,no,yes,no,telephone,May,Mon,81,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
37,blue-collar,married,basic.9y,no,no,no,telephone,May,Mon,270,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
34,technician,married,high.school,no,no,no,telephone,May,Mon,228,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
46,blue-collar,married,basic.6y,unknown,yes,no,telephone,May,Mon,240,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
42,blue-collar,married,basic.9y,no,yes,yes,telephone,May,Mon,673,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,True
36,admin.,married,university.degree,no,yes,no,telephone,May,Mon,233,3,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
54,blue-collar,married,basic.4y,unknown,no,no,telephone,May,Mon,102,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
57,management,married,university.degree,no,no,no,telephone,May,Mon,461,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
51,technician,married,basic.6y,unknown,no,no,telephone,May,Mon,250,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
54,retired,married,high.school,unknown,no,no,telephone,May,Mon,130,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
49,blue-collar,married,basic.4y,unknown,no,no,telephone,May,Mon,252,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
34,admin.,married,university.degree,no,yes,no,telephone,May,Mon,138,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
41,technician,married,professional.course,no,no,no,telephone,May,Mon,412,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
38,blue-collar,single,basic.9y,no,yes,no,telephone,May,Mon,179,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
45,management,divorced,university.degree,no,no,no,telephone,May,Mon,19,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
42,technician,married,university.degree,no,no,no,telephone,May,Mon,228,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
34,blue-collar,single,basic.9y,unknown,yes,no,telephone,May,Mon,55,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
48,blue-collar,married,basic.4y,no,yes,no,telephone,May,Mon,717,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
37,admin.,married,high.school,unknown,yes,no,telephone,May,Mon,313,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
34,blue-collar,single,basic.9y,unknown,no,no,telephone,May,Mon,289,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
40,admin.,married,basic.9y,unknown,yes,no,telephone,May,Mon,683,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
43,blue-collar,married,basic.6y,no,yes,no,telephone,May,Mon,1077,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
33,services,married,high.school,no,no,no,telephone,May,Mon,146,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
32,services,single,basic.6y,no,no,no,telephone,May,Mon,167,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
39,blue-collar,married,high.school,no,yes,no,telephone,May,Mon,356,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
43,admin.,married,unknown,no,no,no,telephone,May,Mon,277,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
44,blue-collar,married,basic.9y,no,yes,no,telephone,May,Mon,172,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
35,student,single,university.degree,unknown,no,no,telephone,May,Mon,218,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
35,student,single,university.degree,unknown,yes,yes,telephone,May,Mon,217,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
35,unemployed,married,professional.course,no,no,no,telephone,May,Mon,67,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
36,services,single,basic.4y,no,no,no,telephone,May,Mon,291,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
35,student,single,university.degree,unknown,yes,no,telephone,May,Mon,248,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
36,student,single,basic.9y,no,yes,no,telephone,May,Mon,256,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
55,housemaid,divorced,university.degree,no,no,no,telephone,May,Mon,286,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
59,admin.,married,university.degree,no,no,no,telephone,May,Mon,477,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
